"id","code_prefix_start","name","name@lv"
"l10n_lv_group_108_01","108.01","Allowance for doubtful accounts national","Estimación de cuentas incobrables nacional"
"l10n_lv_group_108_02","108.02","Allowance for doubtful accounts foreign","Estimación de cuentas incobrables extranjero"
"l10n_lv_group_108_03","108.03","National allowance for doubtful accounts related party","Estimación de cuentas incobrables nacional parte relacionada"
"l10n_lv_group_108_04","108.04","Allowance for uncollectible accounts foreign related party","Estimación de cuentas incobrables extranjero parte relacionada"
"l10n_lv_group_109","109","Advance payments","Pagos anticipados"
"l10n_lv_group_109_01","109.01","Insurance and bonds paid in advance national","Seguros y fianzas pagados por anticipado nacional"
"l10n_lv_group_109_02","109.02","Prepaid foreign insurance and bonds","Seguros y fianzas pagados por anticipado extranjero"
"l10n_lv_group_109_03","109.03","Prepaid insurance and bonds national prepaid insurance and bonds related party","Seguros y fianzas pagados por anticipado nacional parte relacionada"
"l10n_lv_group_109_04","109.04","Foreign prepaid insurance and bonds foreign prepaid insurance and bonds related party","Seguros y fianzas pagados por anticipado extranjero parte relacionada"
"l10n_lv_group_109_05","109.05","National prepaid rents","Rentas pagados por anticipado nacional"
"l10n_lv_group_109_06","109.06","Foreign prepaid rents","Rentas pagados por anticipado extranjero"
"l10n_lv_group_109_07","109.07","Domestic prepaid rentals related party","Rentas pagados por anticipado nacional parte relacionada"
"l10n_lv_group_109_08","109.08","Foreign prepaid rents foreign related party","Rentas pagados por anticipado extranjero parte relacionada"
"l10n_lv_group_109_09","109.09","Interest paid in advance national","Intereses pagados por anticipado nacional"
"l10n_lv_group_109_10","109.10","Foreign prepaid interest","Intereses pagados por anticipado extranjero"
"l10n_lv_group_109_11","109.11","Interest paid in advance domestic prepaid interest related party","Intereses pagados por anticipado nacional parte relacionada"
"l10n_lv_group_109_12","109.12","Foreign prepaid interest foreign prepaid interest related party","Intereses pagados por anticipado extranjero parte relacionada"
"l10n_lv_group_109_13","109.13","Prepaid financial factoring domestic prepaid financial factoring","Factoraje financiero pagados por anticipado nacional"
"l10n_lv_group_109_14","109.14","Foreign prepaid financial factoring","Factoraje financiero pagados por anticipado extranjero"
"l10n_lv_group_109_15","109.15","Domestic prepaid financial factoring related party","Factoraje financiero pagados por anticipado nacional parte relacionada"
"l10n_lv_group_109_16","109.16","Foreign prepaid financial factoring foreign related party","Factoraje financiero pagados por anticipado extranjero parte relacionada"
"l10n_lv_group_109_17","109.17","National prepaid financial leases","Arrendamiento financiero pagados por anticipado nacional"
"l10n_lv_group_109_18","109.18","Foreign prepaid financial leases","Arrendamiento financiero pagados por anticipado extranjero"
"l10n_lv_group_109_19","109.19","Finance lease prepaid domestic prepaid related party","Arrendamiento financiero pagados por anticipado nacional parte relacionada"
"l10n_lv_group_109_20","109.20","Foreign prepaid finance lease foreign related party","Arrendamiento financiero pagados por anticipado extranjero parte relacionada"
"l10n_lv_group_109_21","109.21","Impairment loss on prepayments","Pérdida por deterioro de pagos anticipados"
"l10n_lv_group_109_22","109.22","Fiduciary rights","Derechos fiduciarios"
"l10n_lv_group_109_23","109.23","Other advance payments","Otros pagos anticipados"
"l10n_lv_group_110","110","Employment subsidy to be applied","Subsidio al empleo por aplicar"
"l10n_lv_group_110_01","110.01","Employment subsidy to be applied","Subsidio al empleo por aplicar"
"l10n_lv_group_111","111","Diesel credit to be credited","Crédito al diesel por acreditar"
"l10n_lv_group_111_01","111.01","Diesel credit to be credited","Crédito al diesel por acreditar"
"l10n_lv_group_112","112","Other stimuli","Otros estímulos"
"l10n_lv_group_112_01","112.01","Other stimuli","Otros estímulos"
"l10n_lv_group_113","113","Tax credit","Impuestos a favor"
"l10n_lv_group_113_01","113.01","VAT receivable","IVA a favor"
"l10n_lv_group_113_02","113.02","Income tax to recover","ISR a favor"
"l10n_lv_group_113_03","113.03","Single Rate Business Tax in favour","IETU a favor"
"l10n_lv_group_113_04","113.04","FDI in favour","IDE a favor"
"l10n_lv_group_113_05","113.05","AI in favour","IA a favor"
"l10n_lv_group_113_06","113.06","Employment subsidy","Subsidio al empleo"
"l10n_lv_group_113_07","113.07","Payment of the undue","Pago de lo indebido"
"l10n_lv_group_113_08","113.08","Other taxes in favour","Otros impuestos a favor"
"l10n_lv_group_114","114","Provisional payments","Pagos provisionales"
"l10n_lv_group_114_01","114.01","Provisional income tax payments","Pagos provisionales de ISR"
"l10n_lv_group_115","115","Inventory","Inventario"
"l10n_lv_group_115_01","115.01","Inventory","Inventario"
"l10n_lv_group_115_02","115.02","Raw materials and materials","Materia prima y materiales"
"l10n_lv_group_115_03","115.03","Production in progress","Producción en proceso"
"l10n_lv_group_115_04","115.04","Finished products","Productos terminados"
"l10n_lv_group_115_05","115.05","Goods in transit","Mercancías en tránsito"
"l10n_lv_group_115_06","115.06","Goods held by third parties","Mercancías en poder de terceros"
"l10n_lv_group_115_07","115.07","Other","Otros"
"l10n_lv_group_116","116","Estimation of obsolete and slow-moving inventories","Estimación de inventarios obsoletos y de lento movimiento"
"l10n_lv_group_116_01","116.01","Estimation of obsolete and slow-moving inventories","Estimación de inventarios obsoletos y de lento movimiento"
"l10n_lv_group_117","117","Real estate works in progress","Obras en proceso de inmuebles"
"l10n_lv_group_117_01","117.01","Real estate works in progress","Obras en proceso de inmuebles"
"l10n_lv_group_118","118","Creditable taxes paid","Impuestos acreditables pagados"
"l10n_lv_group_118_01","118.01","Creditable VAT paid","IVA acreditable pagado"
"l10n_lv_group_118_02","118.02","Creditable import VAT paid","IVA acreditable de importación pagado"
"l10n_lv_group_118_03","118.03","Creditable IEPS paid","IEPS acreditable pagado"
"l10n_lv_group_118_04","118.04","IEPS paid on import","IEPS pagado en importación"
"l10n_lv_group_119","119","Taxes payable","Impuestos acreditables por pagar"
"l10n_lv_group_119_01","119.01","VAT due","IVA pendiente de pago"
"l10n_lv_group_119_02","119.02","Import VAT due","IVA de importación pendiente de pago"
"l10n_lv_group_119_03","119.03","IEPS pending payment","IEPS pendiente de pago"
"l10n_lv_group_119_04","119.04","IEPS pending payment on importation","IEPS pendiente de pago en importación"
"l10n_lv_group_120","120","Advances to suppliers","Anticipo a proveedores"
"l10n_lv_group_120_01","120.01","Advance to national suppliers","Anticipo a proveedores nacional"
"l10n_lv_group_120_02","120.02","Advance payment to foreign suppliers","Anticipo a proveedores extranjero"
"l10n_lv_group_120_03","120.03","Advance to suppliers national related party","Anticipo a proveedores nacional parte relacionada"
"l10n_lv_group_120_04","120.04","Advance to foreign suppliers related party","Anticipo a proveedores extranjero parte relacionada"
"l10n_lv_group_121","121","Other short-term assets","Otros activos a corto plazo"
"l10n_lv_group_121_01","121.01","Other short-term assets","Otros activos a corto plazo"
"l10n_lv_group_100_02","100.02","Long-term assets","Activo a largo plazo"
"l10n_lv_group_151","151","Land","Terrenos"
"l10n_lv_group_151_01","151.01","Land","Terrenos"
"l10n_lv_group_152","152","Buildings","Edificios"
"l10n_lv_group_152_01","152.01","Buildings","Edificios"
"l10n_lv_group_153","153","Machinery and equipment","Maquinaria y equipo"
"l10n_lv_group_153_01","153.01","Machinery and equipment","Maquinaria y equipo"
"l10n_lv_group_154","154","Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"l10n_lv_group_154_01","154.01","Automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"l10n_lv_group_155","155","Office furniture and equipment","Mobiliario y equipo de oficina"
"l10n_lv_group_155_01","155.01","Office furniture and equipment","Mobiliario y equipo de oficina"
"l10n_lv_group_156","156","Computer equipment","Equipo de cómputo"
"l10n_lv_group_156_01","156.01","Computer equipment","Equipo de cómputo"
"l10n_lv_group_157","157","Communication equipment","Equipo de comunicación"
"l10n_lv_group_157_01","157.01","Communication equipment","Equipo de comunicación"
"l10n_lv_group_158","158","Biological, plant and livestock assets","Activos biológicos, vegetales y semovientes"
"l10n_lv_group_158_01","158.01","Biological, plant and livestock assets","Activos biológicos, vegetales y semovientes"
"l10n_lv_group_159","159","Work in progress on fixed assets","Obras en proceso de activos fijos"
"l10n_lv_group_159_01","159.01","Work in progress on fixed assets","Obras en proceso de activos fijos"
"l10n_lv_group_160","160","Other fixed assets","Otros activos fijos"
"l10n_lv_group_160_01","160.01","Other fixed assets","Otros activos fijos"
"l10n_lv_group_161","161","Railways","Ferrocarriles"
"l10n_lv_group_161_01","161.01","Railways","Ferrocarriles"
"l10n_lv_group_162","162","Ships","Embarcaciones"
"l10n_lv_group_162_01","162.01","Ships","Embarcaciones"
"l10n_lv_group_163","163","Planes","Aviones"
"l10n_lv_group_163_01","163.01","Planes","Aviones"
"l10n_lv_group_164","164","Tools, dies, moulds, patterns and tooling","Troqueles, moldes, matrices y herramental"
"l10n_lv_group_164_01","164.01","Tools, dies, moulds, patterns and tooling","Troqueles, moldes, matrices y herramental"
"l10n_lv_group_165","165","Telephone communications equipment","Equipo de comunicaciones telefónicas"
"l10n_lv_group_165_01","165.01","Telephone communications equipment","Equipo de comunicaciones telefónicas"
"l10n_lv_group_166","166","Satellite communication equipment","Equipo de comunicación satelital"
"l10n_lv_group_166_01","166.01","Satellite communication equipment","Equipo de comunicación satelital"
"l10n_lv_group_167","167","Adaptation equipment for people with disabilities","Equipo de adaptaciones para personas con capacidades diferentes"
"l10n_lv_group_167_01","167.01","Adaptation equipment for people with disabilities","Equipo de adaptaciones para personas con capacidades diferentes"
"l10n_lv_group_168","168","Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems","Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"l10n_lv_group_168_01","168.01","Machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power (CHP) systems","Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"l10n_lv_group_169","169","Other machinery and equipment","Otra maquinaria y equipo"
"l10n_lv_group_169_01","169.01","Other machinery and equipment","Otra maquinaria y equipo"
"l10n_lv_group_170","170","Adaptations and improvements","Adaptaciones y mejoras"
"l10n_lv_group_170_01","170.01","Adaptations and improvements","Adaptaciones y mejoras"
"l10n_lv_group_171","171","Accumulated depreciation of fixed assets","Depreciación acumulada de activos fijos"
"l10n_lv_group_171_01","171.01","Accumulated depreciation of buildings","Depreciación acumulada de edificios"
"l10n_lv_group_171_02","171.02","Accumulated depreciation of machinery and equipment","Depreciación acumulada de maquinaria y equipo"
"l10n_lv_group_171_03","171.03","Accumulated depreciation of cars, buses, cargo trucks, tractor-trailers, forklifts and trailers","Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"l10n_lv_group_171_04","171.04","Accumulated depreciation of office furniture and equipment","Depreciación acumulada de mobiliario y equipo de oficina"
"l10n_lv_group_171_05","171.05","Accumulated depreciation of computer equipment","Depreciación acumulada de equipo de cómputo"
"l10n_lv_group_171_06","171.06","Accumulated depreciation of communication equipment","Depreciación acumulada de equipo de comunicación"
"l10n_lv_group_171_07","171.07","Accumulated depreciation of biological, plant and livestock assets","Depreciación acumulada de activos biológicos, vegetales y semovientes"
"l10n_lv_group_171_08","171.08","Accumulated depreciation of other fixed assets","Depreciación acumulada de otros activos fijos"
"l10n_lv_group_171_09","171.09","Accumulated depreciation of railways","Depreciación acumulada de ferrocarriles"
"l10n_lv_group_171_10","171.10","Accumulated depreciation of ships","Depreciación acumulada de embarcaciones"
"l10n_lv_group_171_11","171.11","Accumulated aircraft depreciation","Depreciación acumulada de aviones"
"l10n_lv_group_171_12","171.12","Accumulated depreciation of dies, moulds, patterns and tooling","Depreciación acumulada de troqueles, moldes, matrices y herramental"
"l10n_lv_group_171_13","171.13","Accumulated depreciation of telephone communications equipment","Depreciación acumulada de equipo de comunicaciones telefónicas"
"l10n_lv_group_171_14","171.14","Accumulated depreciation of satellite communication equipment","Depreciación acumulada de equipo de comunicación satelital"
"l10n_lv_group_171_15","171.15","Accumulated depreciation of adaptive equipment for people with disabilities","Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes"
"l10n_lv_group_171_16","171.16","Accumulated depreciation of machinery and equipment for power generation from renewable sources or efficient co-generation systems","Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"l10n_lv_group_171_17","171.17","Accumulated depreciation of adaptations and improvements","Depreciación acumulada de adaptaciones y mejoras"
"l10n_lv_group_171_18","171.18","Accumulated depreciation of other machinery and equipment","Depreciación acumulada de otra maquinaria y equipo"
"l10n_lv_group_172","172","Accumulated impairment loss on fixed assets","Pérdida por deterioro acumulado de activos fijos"
"l10n_lv_group_172_01","172.01","Accumulated impairment loss on buildings","Pérdida por deterioro acumulado de edificios"
"l10n_lv_group_172_02","172.02","Accumulated impairment loss on machinery and equipment","Pérdida por deterioro acumulado de maquinaria y equipo"
"l10n_lv_group_172_03","172.03","Loss from accumulated impairment of automobiles, buses, cargo trucks, tractor-trailers, forklifts and trailers","Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
"l10n_lv_group_172_04","172.04","Accumulated impairment loss on office furniture and equipment","Pérdida por deterioro acumulado de mobiliario y equipo de oficina"
"l10n_lv_group_172_05","172.05","Accumulated impairment loss on computer equipment","Pérdida por deterioro acumulado de equipo de cómputo"
"l10n_lv_group_172_06","172.06","Accumulated impairment loss on communication equipment","Pérdida por deterioro acumulado de equipo de comunicación"
"l10n_lv_group_172_07","172.07","Accumulated impairment loss on biological assets, plants and livestock","Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes"
"l10n_lv_group_172_08","172.08","Accumulated impairment loss on other fixed assets","Pérdida por deterioro acumulado de otros activos fijos"
"l10n_lv_group_172_09","172.09","Accumulated impairment loss on railways","Pérdida por deterioro acumulado de ferrocarriles"
"l10n_lv_group_172_10","172.10","Accumulated impairment loss on ships","Pérdida por deterioro acumulado de embarcaciones"
"l10n_lv_group_172_11","172.11","Accumulated impairment loss on aircraft","Pérdida por deterioro acumulado de aviones"
"l10n_lv_group_172_12","172.12","Accumulated impairment loss on dies, moulds, patterns and tooling","Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental"
"l10n_lv_group_172_13","172.13","Accumulated impairment loss on telephone communication equipment","Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas"
"l10n_lv_group_172_14","172.14","Accumulated impairment loss of satellite communication equipment","Pérdida por deterioro acumulado de equipo de comunicación satelital"
"l10n_lv_group_172_15","172.15","Loss due to accumulated impairment of adaptive equipment for people with disabilities","Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidades diferentes"
"l10n_lv_group_172_16","172.16","Accumulated impairment loss on machinery and equipment for the generation of energy from renewable sources or efficient combined heat and power systems","Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente"
"l10n_lv_group_172_17","172.17","Accumulated impairment loss on adaptations and improvements","Pérdida por deterioro acumulado de adaptaciones y mejoras"
"l10n_lv_group_172_18","172.18","Accumulated impairment loss on other machinery and equipment","Pérdida por deterioro acumulado de otra maquinaria y equipo"
"l10n_lv_group_173","173","Deferred expenditure","Gastos diferidos"
"l10n_lv_group_173_01","173.01","Deferred expenditure","Gastos diferidos"
"l10n_lv_group_174","174","Pre-operational expenditure","Gastos pre operativos"
"l10n_lv_group_174_01","174.01","Pre-operational expenditure","Gastos pre operativos"
"l10n_lv_group_175","175","Royalties, technical assistance and other deferred expenses","Regalías, asistencia técnica y otros gastos diferidos"
"l10n_lv_group_175_01","175.01","Royalties, technical assistance and other deferred expenses","Regalías, asistencia técnica y otros gastos diferidos"
"l10n_lv_group_176","176","Activos intangibles","Activos intangibles"
"l10n_lv_group_176_01","176.01","Activos intangibles","Activos intangibles"
"l10n_lv_group_177","177","Gastos de organización","Gastos de organización"
"l10n_lv_group_177_01","177.01","Gastos de organización","Gastos de organización"
"l10n_lv_group_178","178","Investigación y desarrollo de mercado","Investigación y desarrollo de mercado"
"l10n_lv_group_178_01","178.01","Investigación y desarrollo de mercado","Investigación y desarrollo de mercado"
"l10n_lv_group_179","179","Trademarks and patents","Marcas y patentes"
"l10n_lv_group_179_01","179.01","Trademarks and patents","Marcas y patentes"
"l10n_lv_group_180","180","Goodwill","Crédito mercantil"
"l10n_lv_group_180_01","180.01","Goodwill","Crédito mercantil"
"l10n_lv_group_181","181","Installation costs","Gastos de instalación"
"l10n_lv_group_181_01","181.01","Installation costs","Gastos de instalación"
"l10n_lv_group_182","182","Other deferred assets","Otros activos diferidos"
"l10n_lv_group_182_01","182.01","Other deferred assets","Otros activos diferidos"
"l10n_lv_group_183","183","Accumulated amortisation of deferred assets","Amortización acumulada de activos diferidos"
"l10n_lv_group_183_01","183.01","Accumulated amortisation of deferred expenses","Amortización acumulada de gastos diferidos"
"l10n_lv_group_183_02","183.02","Accumulated amortisation of pre-operating expenses","Amortización acumulada de gastos pre operativos"
"l10n_lv_group_183_03","183.03","Accrued amortisation of royalties, technical assistance and other deferred expenses","Amortización acumulada de regalías, asistencia técnica y otros gastos diferidos"
"l10n_lv_group_183_04","183.04","Accumulated amortisation of intangible assets","Amortización acumulada de activos intangibles"
"l10n_lv_group_183_05","183.05","Accumulated amortisation of organisational costs","Amortización acumulada de gastos de organización"
"l10n_lv_group_183_06","183.06","Accumulated amortisation of market research and development","Amortización acumulada de investigación y desarrollo de mercado"
"l10n_lv_group_183_07","183.07","Accumulated amortisation of trademarks and patents","Amortización acumulada de marcas y patentes"
"l10n_lv_group_183_08","183.08","Accumulated amortisation of goodwill","Amortización acumulada de crédito mercantil"
"l10n_lv_group_183_09","183.09","Accumulated depreciation of installation costs","Amortización acumulada de gastos de instalación"
"l10n_lv_group_183_10","183.10","Accumulated amortisation of other deferred assets","Amortización acumulada de otros activos diferidos"
"l10n_lv_group_184","184","Guarantee deposits","Depósitos en garantía"
"l10n_lv_group_184_01","184.01","Security deposits","Depósitos de fianzas"
"l10n_lv_group_184_02","184.02","Deposits from the lease of real estate","Depósitos de arrendamiento de bienes inmuebles"
"l10n_lv_group_184_03","184.03","Other security deposits","Otros depósitos en garantía"
"l10n_lv_group_185","185","Deferred taxes","Impuestos diferidos"
"l10n_lv_group_185_01","185.01","Deferred income taxes","Impuestos diferidos ISR"
"l10n_lv_group_186","186","Long-term accounts and notes receivable","Cuentas y documentos por cobrar a largo plazo"
"l10n_lv_group_186_01","186.01","Long-term accounts and notes receivable domestic","Cuentas y documentos por cobrar a largo plazo nacional"
"l10n_lv_group_186_02","186.02","Foreign long-term accounts and notes receivable","Cuentas y documentos por cobrar a largo plazo extranjero"
"l10n_lv_group_186_03","186.03","Long-term accounts and notes receivable domestic related party","Cuentas y documentos por cobrar a largo plazo nacional parte relacionada"
"l10n_lv_group_186_04","186.04","Long-term accounts and notes receivable foreign related party","Cuentas y documentos por cobrar a largo plazo extranjero parte relacionada"
"l10n_lv_group_186_05","186.05","Long-term interest receivable domestic","Intereses por cobrar a largo plazo nacional"
"l10n_lv_group_186_06","186.06","Foreign long-term interest receivable","Intereses por cobrar a largo plazo extranjero"
"l10n_lv_group_186_07","186.07","Long-term interest receivable domestic related party","Intereses por cobrar a largo plazo nacional parte relacionada"
"l10n_lv_group_186_08","186.08","Foreign long-term interest receivable foreign related party","Intereses por cobrar a largo plazo extranjero parte relacionada"
"l10n_lv_group_186_09","186.09","Other long-term accounts and notes receivable","Otras cuentas y documentos por cobrar a largo plazo"
"l10n_lv_group_186_10","186.10","Other long-term accounts and notes receivable related party","Otras cuentas y documentos por cobrar a largo plazo parte relacionada"
"l10n_lv_group_187","187","Employee deferred profit sharing","Participación de los trabajadores en las utilidades diferidas"
"l10n_lv_group_187_01","187.01","Employee deferred profit sharing","Participación de los trabajadores en las utilidades diferidas"
"l10n_lv_group_188","188","Permanent equity investments","Inversiones permanentes en acciones"
"l10n_lv_group_188_01","188.01","Long-term investments in subsidiaries","Inversiones a largo plazo en subsidiarias"
"l10n_lv_group_188_02","188.02","Long-term investments in associates","Inversiones a largo plazo en asociadas"
"l10n_lv_group_188_03","188.03","Other permanent investments in shares","Otras inversiones permanentes en acciones"
"l10n_lv_group_189","189","Allowance for impairment of permanent investments in shares","Estimación por deterioro de inversiones permanentes en acciones"
"l10n_lv_group_189_01","189.01","Allowance for impairment of permanent investments in shares","Estimación por deterioro de inversiones permanentes en acciones"
"l10n_lv_group_190","190","Other financial instruments","Otros instrumentos financieros"
"l10n_lv_group_190_01","190.01","Other financial instruments","Otros instrumentos financieros"
"l10n_lv_group_191","191","Other long-term assets","Otros activos a largo plazo"
"l10n_lv_group_191_01","191.01","Other long-term assets","Otros activos a largo plazo"
"l10n_lv_group_2","2","Passive","Pasivos"
"l10n_lv_group_200_01","200.01","Short-term liabilities","Pasivo a corto plazo"
"l10n_lv_group_201","201","Suppliers","Proveedores"
"l10n_lv_group_201_01","201.01","National suppliers","Proveedores nacionales"
"l10n_lv_group_201_02","201.02","Foreign suppliers","Proveedores extranjeros"
"l10n_lv_group_201_03","201.03","National suppliers related party","Proveedores nacionales parte relacionada"
"l10n_lv_group_201_04","201.04","Foreign suppliers related party","Proveedores extranjeros parte relacionada"
"l10n_lv_group_202","202","Short-term accounts payable","Cuentas por pagar a corto plazo"
"l10n_lv_group_202_01","202.01","Domestic bank and financial payables","Documentos por pagar bancario y financiero nacional"
"l10n_lv_group_202_02","202.02","Foreign bank and financial notes payable","Documentos por pagar bancario y financiero extranjero"
"l10n_lv_group_202_03","202.03","Domestic short-term notes and accounts payable","Documentos y cuentas por pagar a corto plazo nacional"
"l10n_lv_group_202_04","202.04","Foreign short-term notes and accounts payable","Documentos y cuentas por pagar a corto plazo extranjero"
"l10n_lv_group_202_05","202.05","Domestic short-term notes and accounts payable related party","Documentos y cuentas por pagar a corto plazo nacional parte relacionada"
"l10n_lv_group_202_06","202.06","Foreign short-term notes and accounts payable foreign related party","Documentos y cuentas por pagar a corto plazo extranjero parte relacionada"
"l10n_lv_group_202_07","202.07","Short-term interest payable domestic","Intereses por pagar a corto plazo nacional"
"l10n_lv_group_202_08","202.08","Foreign short-term interest payable","Intereses por pagar a corto plazo extranjero"
"l10n_lv_group_202_09","202.09","Short-term interest payable domestic related party","Intereses por pagar a corto plazo nacional parte relacionada"
"l10n_lv_group_202_10","202.10","Foreign short-term interest payable foreign related party","Intereses por pagar a corto plazo extranjero parte relacionada"
"l10n_lv_group_202_11","202.11","Domestic dividend payable","Dividendo por pagar nacional"
"l10n_lv_group_202_12","202.12","Foreign dividend payable","Dividendo por pagar extranjero"
"l10n_lv_group_203","203","Short-term prepayments","Cobros anticipados a corto plazo"
"l10n_lv_group_203_01","203.01","Domestic short term prepaid income","Rentas cobradas por anticipado a corto plazo nacional"
"l10n_lv_group_203_02","203.02","Foreign short-term prepaid foreign income","Rentas cobradas por anticipado a corto plazo extranjero"
"l10n_lv_group_203_03","203.03","Short-term prepaid national rents related party","Rentas cobradas por anticipado a corto plazo nacional parte relacionada"
"l10n_lv_group_203_04","203.04","Short-term foreign prepaid foreign income related party","Rentas cobradas por anticipado a corto plazo extranjero parte relacionada"
"l10n_lv_group_203_05","203.05","Short-term interest received in advance nationally","Intereses cobrados por anticipado a corto plazo nacional"
"l10n_lv_group_203_06","203.06","Short-term foreign interest collected in advance","Intereses cobrados por anticipado a corto plazo extranjero"
"l10n_lv_group_203_07","203.07","Short-term interest received in advance national related party","Intereses cobrados por anticipado a corto plazo nacional parte relacionada"
"l10n_lv_group_203_08","203.08","Short-term interest received in advance foreign related party","Intereses cobrados por anticipado a corto plazo extranjero parte relacionada"
"l10n_lv_group_203_09","203.09","Domestic short-term factoring of cash collected in advance","Factoraje financiero cobrados por anticipado a corto plazo nacional"
"l10n_lv_group_203_10","203.10","Foreign short-term advance factoring receivables","Factoraje financiero cobrados por anticipado a corto plazo extranjero"
"l10n_lv_group_203_11","203.11","Financial factoring short term prepaid domestic related party","Factoraje financiero cobrados por anticipado a corto plazo nacional parte relacionada"
"l10n_lv_group_203_12","203.12","Financial factoring short-term prepaid foreign related parties","Factoraje financiero cobrados por anticipado a corto plazo extranjero parte relacionada"
"l10n_lv_group_203_13","203.13","Short-term prepaid national finance leases","Arrendamiento financiero cobrados por anticipado a corto plazo nacional"
"l10n_lv_group_203_14","203.14","Foreign short term prepaid finance leases","Arrendamiento financiero cobrados por anticipado a corto plazo extranjero"
"l10n_lv_group_203_15","203.15","Finance leases collected in advance at short term domestic related party","Arrendamiento financiero cobrados por anticipado a corto plazo nacional parte relacionada"
"l10n_lv_group_203_16","203.16","Finance leases collected in advance in the short term foreign related party","Arrendamiento financiero cobrados por anticipado a corto plazo extranjero parte relacionada"
